Reign,JulianStart,Abbreviation,Notes
William I,1066-12-25,Will. I,
William II,1087-09-26,Will. II,
Henry I,1100-08-05,Hen. I,
Stephen,1135-12-22,Steph.,
Henry II,1154-12-19,Hen. II,
Richard I,1189-09-03,Ric. I,
John,1199-05-27,John,
Henry III,1216-10-28,Hen. III,
Edward I,1272-11-20,Edw. I,
Edward II,1307-07-08,Edw. II,
Edward III,1327-01-25,Edw. III,French Regnal
Richard II,1377-01-25,Ric. II,
Henry IV,1399-09-30,Hen. IV,
Henry V,1413-03-21,Hen. V,
Henry VI,1422-09-01,Hen. VI,
Edward IV,1461-03-04,Edw. IV,Also Hen. VI
Edward V,1483-04-09,Edw. V,
Richard III,1483-06-26,Ric. III,
Henry VII,1485-08-22,Hen. VII,
Henry VIII,1509-04-22,Hen. VIII,
Edward VI,1547-01-28,Edw. VI,
Jane,1553-07-06,Jane,
Mary,1553-07-19,Mary,
Philip & Mary,1554-07-25,P. & M.,
Elizabeth I,1558-11-17,Eliz. I,
