Reign,JulianStart,GregorianStart,Abbreviation,RegnalYear
William I,1066-12-25,,Will. I,
William II,1087-09-26,,Will. II,
Henry I,1100-08-05,,Hen. I,
Stephen,1135-12-22,,Steph.,
Henry II,1154-12-19,,Hen. II,
Richard I,1189-09-03,,Ric. I,
John,1199-05-27,,John,1
John,1200-05-18,,John,2
John,1201-05-03,,John,3
John,1202-05-23,,John,4
John,1203-05-15,,John,5
John,1204-06-03,,John,6
John,1205-05-19,,John,7
John,1206-05-11,,John,8
John,1207-05-31,,John,9
John,1208-05-15,,John,10
John,1209-05-07,,John,11
John,1210-05-27,,John,12
John,1211-05-12,,John,13
John,1212-05-03,,John,14
John,1213-05-23,,John,15
John,1214-05-08,,John,16
John,1215-05-28,,John,17
John,1216-05-19,,John,18
Henry III,1216-10-28,,Hen. III,
Edward I,1272-11-20,,Edw. I,
Edward II,1307-07-08,,Edw. II,
Edward III,1327-01-25,,Edw. III,
Edward III,1340-01-25,,Edw. III,14 & 1
Edward III,1341-01-25,,Edw. III,15 & 2
Edward III,1342-01-25,,Edw. III,16 & 3
Edward III,1343-01-25,,Edw. III,17 & 4
Edward III,1344-01-25,,Edw. III,18 & 5
Edward III,1345-01-25,,Edw. III,19 & 6
Edward III,1346-01-25,,Edw. III,20 & 7
Edward III,1347-01-25,,Edw. III,21 & 8
Edward III,1348-01-25,,Edw. III,22 & 9
Edward III,1349-01-25,,Edw. III,23 & 10
Edward III,1350-01-25,,Edw. III,24 & 11
Edward III,1351-01-25,,Edw. III,25 & 12
Edward III,1352-01-25,,Edw. III,26 & 13
Edward III,1353-01-25,,Edw. III,27 & 14
Edward III,1354-01-25,,Edw. III,28 & 15 
Edward III,1355-01-25,,Edw. III,29 & 16
Edward III,1356-01-25,,Edw. III,30 & 17
Edward III,1357-01-25,,Edw. III,31 & 18
Edward III,1358-01-25,,Edw. III,32 & 19
Edward III,1359-01-25,,Edw. III,33 & 20
Edward III,1360-01-25,,Edw. III,34 & 21
Edward III,1360-01-09,,Edw. III,34
Edward III,1361-01-25,,Edw. III,35
Edward III,1362-01-25,,Edw. III,36
Edward III,1363-01-25,,Edw. III,37
Edward III,1364-01-25,,Edw. III,38
Edward III,1365-01-25,,Edw. III,39
Edward III,1366-01-25,,Edw. III,40
Edward III,1367-01-25,,Edw. III,41
Edward III,1368-01-25,,Edw. III,42
Edward III,1369-01-25,,Edw. III,43
Edward III,1369-06-11,,Edw. III,43 & 30
Edward III,1370-01-25,,Edw. III,44 & 31
Edward III,1371-01-25,,Edw. III,45 & 32
Edward III,1372-01-25,,Edw. III,46 & 33
Edward III,1373-01-25,,Edw. III,47 & 34
Edward III,1374-01-25,,Edw. III,48 & 35
Edward III,1375-01-25,,Edw. III,49 & 36
Edward III,1376-01-25,,Edw. III,50 & 37
Edward III,1377-01-25,,Edw. III,51 & 38
Richard II,1377-06-22,,Ric. II,
Henry IV,1399-09-30,,Hen. IV,
Henry V,1413-03-21,,Hen. V,
Henry VI,1422-09-01,,Hen. VI,
Edward IV,1461-03-04,,Edw. IV,
Henry VI,1470-10-09,,Hen. VI,49 & 1
Edward IV,1471-04-15,,Edw. IV,11
Edward IV,1472-03-04,,Edw. IV,12
Edward IV,1473-03-04,,Edw. IV,13
Edward IV,1474-03-04,,Edw. IV,14
Edward IV,1475-03-04,,Edw. IV,15
Edward IV,1476-03-04,,Edw. IV,16
Edward IV,1477-03-04,,Edw. IV,17
Edward IV,1478-03-04,,Edw. IV,18
Edward IV,1479-03-034,,Edw. IV,19
Edward IV,1480-03-04,,Edw. IV,20
Edward IV,1481-03-04,,Edw. IV,21
Edward IV,1482-03-04,,Edw. IV,22
Edward IV,1483-03-04,,Edw. IV,23
Edward V,1483-04-09,,Edw. V,
Richard III,1483-06-26,,Ric. III,
Henry VII,1485-08-22,,Hen. VII,
Henry VIII,1509-04-22,,Hen. VIII,
